City,State,Housing type,Units,Sq. ft. per unit,Population density,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Denver,CO,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.96,0.95,0.98,0.95–0.98,0.2,0.2,0.21,0.2–0.21,38
Tampa,FL,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.93,0.9,0.95,0.9–0.95,0.19,0.18,0.19,0.18–0.19,39
Nashville,TN,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.91,0.9,0.93,0.9–0.93,0.07,0.07,0.08,0.07–0.08,40
Little Rock,AR,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.87,0.81,0.93,0.81–0.93,0.01,0.01,0.01,0.01–0.01,41
San Antonio,TX,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.86,0.84,0.88,0.84–0.88,0.08,0.07,0.08,0.07–0.08,42
Charleston,SC,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.85,0.82,0.88,0.82–0.88,0.1,0.09,0.11,0.09–0.11,43
Columbus,OH,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.83,0.81,0.85,0.81–0.85,0.05,0.04,0.05,0.04–0.05,44
Raleigh,NC,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.79,0.76,0.83,0.76–0.83,0.14,0.13,0.15,0.13–0.15,45
Norfolk,VA,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.78,0.74,0.82,0.74–0.82,0.18,0.16,0.2,0.16–0.2,46
Boise,ID,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.76,0.74,0.78,0.74–0.78,0.12,0.12,0.13,0.12–0.13,47
Oklahoma City,OK,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.76,0.74,0.77,0.74–0.77,0.04,0.03,0.04,0.03–0.04,48
Louisville,KY,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.76,0.72,0.79,0.72–0.79,0.03,0.03,0.04,0.03–0.04,49
Durham,NC,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.72,0.7,0.74,0.7–0.74,0.09,0.09,0.09,0.09–0.09,50
Mesa,AZ,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.65,0.63,0.67,0.63–0.67,0.08,0.07,0.09,0.07–0.09,51
Fort Worth,TX,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.64,0.63,0.65,0.63–0.65,0.09,0.09,0.09,0.09–0.09,52
Phoenix,AZ,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.63,0.62,0.64,0.62–0.64,0.05,0.05,0.06,0.05–0.06,53
El Paso,TX,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.62,0.61,0.64,0.61–0.64,0.07,0.07,0.08,0.07–0.08,54
Colorado Springs,CO,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.61,0.59,0.62,0.59–0.62,0.07,0.07,0.08,0.07–0.08,55
Wilmington,NC,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.59,0.57,0.61,0.57–0.61,0.01,0.01,0.01,0.01–0.01,56
Indianapolis,IN,Single-family,1,2800,"4,000/sq. mi.","$80,000",0.46,0.43,0.5,0.43–0.5,0.01,0.01,0.02,0.01–0.02,57
